MATCHID,ROUND,HOME_TEAM_ID,HOME_TEAM,AWAY_TEAM_ID,AWAY_TEAM,SCORE_STR,STATUS
2486403,17,981215,PALMER BASKET MALLORCA PALMA,981525,FLEXICAR FUENLABRADA,79-88,PLAYED
2486404,17,980004,LEYMA CORUNA,981214,FIBWI MALLORCA BASQUET PALMA,94-72,PLAYED
2486405,17,981421,MONBUS OBRADOIRO,979989,HLA ALICANTE,87-75,PLAYED
2486406,17,981431,MOVISTAR ESTUDIANTES,979907,GRUPO ALEGA CANTABRIA,81-74,PLAYED
2486407,17,981251,GRUPO CAESA SEGUROS FC CARTAGENA CB,979920,GRUPO URETA TIZONA BURGOS,89-87,PLAYED
2486408,17,981124,ALIMERKA OVIEDO BALONCESTO,979769,MELILLA CIUDAD DEL DEPORTE,101-70,PLAYED
2486409,17,981343,SUPER AGROPAL PALENCIA,981493,CLOUD.GAL OURENSE BALONCESTO,83-77,PLAYED
2486411,18,979989,HLA ALICANTE,981343,SUPER AGROPAL PALENCIA,63-82,PLAYED
2486412,18,981215,PALMER BASKET MALLORCA PALMA,981125,CAJA RURAL CB ZAMORA,92-95,PLAYED
2486413,18,979920,GRUPO URETA TIZONA BURGOS,981214,FIBWI MALLORCA BASQUET PALMA,80-76,PLAYED
2486414,18,981421,MONBUS OBRADOIRO,981124,ALIMERKA OVIEDO BALONCESTO,86-68,PLAYED
2486415,18,981203,INVEREADY GIPUZKOA,981431,MOVISTAR ESTUDIANTES,73-66,PLAYED
2486416,18,981493,CLOUD.GAL OURENSE BALONCESTO,981525,FLEXICAR FUENLABRADA,69-72,PLAYED
2486417,18,979907,GRUPO ALEGA CANTABRIA,981251,GRUPO CAESA SEGUROS FC CARTAGENA CB,78-72,PLAYED
2486418,18,979769,MELILLA CIUDAD DEL DEPORTE,980004,LEYMA CORUNA,72-105,PLAYED
2486420,19,981214,FIBWI MALLORCA BASQUET PALMA,979769,MELILLA CIUDAD DEL DEPORTE,84-78,PLAYED
2486421,19,981300,HESTIA MENORCA,979907,GRUPO ALEGA CANTABRIA,89-81,PLAYED
2486422,19,981431,MOVISTAR ESTUDIANTES,981343,SUPER AGROPAL PALENCIA,72-94,PLAYED
2486423,19,981525,FLEXICAR FUENLABRADA,979920,GRUPO URETA TIZONA BURGOS,76-69,PLAYED
2486424,19,981251,GRUPO CAESA SEGUROS FC CARTAGENA CB,981203,INVEREADY GIPUZKOA,64-84,PLAYED
2486425,19,981493,CLOUD.GAL OURENSE BALONCESTO,979989,HLA ALICANTE,81-75,PLAYED
2486426,19,981124,ALIMERKA OVIEDO BALONCESTO,980004,LEYMA CORUNA,84-89,PLAYED
2486427,19,981125,CAJA RURAL CB ZAMORA,981421,MONBUS OBRADOIRO,77-92,PLAYED
2486429,20,979989,HLA ALICANTE,979769,MELILLA CIUDAD DEL DEPORTE,78-71,PLAYED
2486430,20,981214,FIBWI MALLORCA BASQUET PALMA,981525,FLEXICAR FUENLABRADA,79-80,PLAYED
2486431,20,980004,LEYMA CORUNA,981125,CAJA RURAL CB ZAMORA,81-76,PLAYED
2486432,20,981421,MONBUS OBRADOIRO,981300,HESTIA MENORCA,100-86,PLAYED
2486433,20,981203,INVEREADY GIPUZKOA,979920,GRUPO URETA TIZONA BURGOS,93-65,PLAYED
2486435,20,981251,GRUPO CAESA SEGUROS FC CARTAGENA CB,981493,CLOUD.GAL OURENSE BALONCESTO,81-80,PLAYED
2486436,20,981343,SUPER AGROPAL PALENCIA,981215,PALMER BASKET MALLORCA PALMA,85-69,PLAYED
2486437,20,979907,GRUPO ALEGA CANTABRIA,981124,ALIMERKA OVIEDO BALONCESTO,79-87,PLAYED
2486438,21,981214,FIBWI MALLORCA BASQUET PALMA,981300,HESTIA MENORCA,69-76,PLAYED
2486439,21,981215,PALMER BASKET MALLORCA PALMA,980004,LEYMA CORUNA,65-85,PLAYED
2486440,21,979920,GRUPO URETA TIZONA BURGOS,981125,CAJA RURAL CB ZAMORA,93-101,PLAYED
2486441,21,981525,FLEXICAR FUENLABRADA,979989,HLA ALICANTE,87-90,PLAYED
2486442,21,981493,CLOUD.GAL OURENSE BALONCESTO,981431,MOVISTAR ESTUDIANTES,103-97,PLAYED
2486443,21,981124,ALIMERKA OVIEDO BALONCESTO,981343,SUPER AGROPAL PALENCIA,61-76,PLAYED
2486444,21,979907,GRUPO ALEGA CANTABRIA,981203,INVEREADY GIPUZKOA,91-90,PLAYED
2486445,21,979769,MELILLA CIUDAD DEL DEPORTE,981421,MONBUS OBRADOIRO,70-92,PLAYED
